ParcelNumber,FullAddress,CurrentAssessedValue,OBJECTID
210095000,111 CLEVELAND AVE ,291800,15150190
220034000,1501 BROAD AVE ,207000,15150618
220036000,1505 BROAD AVE ,215500,15150597
220189000,1506 BROAD AVE ,244500,15150616
220037000,1507 BROAD AVE ,206200,15150585
220038000,1509 BROAD AVE ,204500,15150575
220029000,505 VALLEY RD EXT ,198700,15150572
220030000,507 VALLEY RD EXT ,191000,15150580
220031000,509 VALLEY RD EXT ,187700,15150590
21A005000,2516 WILLARD DR ,203700,15150226
21B004700,524 HARRIS RD ,2311100,15150415
21B003000,1185 5TH ST SW ,5416700,15150458
200234000,111 CAMELLIA DR ,231300,15149972
22A050000,1619 TRAILRIDGE RD ,308300,15150815
21A076000,437 MOSELEY DR ,260900,15150292
21A077000,435 MOSELEY DR ,208700,15150277
200162000,114 AZALEA DR ,238000,15150407
220153000,1635 CHERRY AVE ,208900,15150736
220119000,1620 CENTER AVE ,190000,15150629
220085000,225 SHAMROCK RD ,366550,15150516
220150000,1639 CHERRY AVE ,211300,15150737
210105900,2317 CRESTMONT AVE ,281700,15150181
200136000,234 MONTE VISTA AVE ,317300,15149971
210119000,2311 HIGHLAND AVE ,256000,15150128
22B012000,108 ELKHORN RD ,327200,15150770
220099000,1627 CENTER AVE ,220100,15150627
220183000,1528 BROAD AVE ,222400,15150564
220046180,112 DAVID TER ,207900,15150483
190054000,222 OLD LYNCHBURG RD ,198200,15149924
220046210,115 DAVID TER ,192900,15150470
210039000,205 ROBERTSON AVE ,411525,15150076
210044000,210 ROBERTSON AVE ,215000,15150092
21A033000,408 MOSELEY DR ,217700,15150244
200145000,0 BELLEVIEW ST ,30000,15149918
200126000,208-210 MONTE VISTA AVE REAR,17400,15149919
200129000,0 MONTE VISTA AVE ,15600,15149934
200144000,0 MONTE VISTA AVE ,68800,15149939
200142000,0 MONTE VISTA AVE ,43800,15149956
200143000,0 BELLEVIEW ST ,18800,15149999
210105150,2326 CRESTMONT AVE ,273300,15150159
210130000,2316 HIGHLAND AVE ,375900,15150129
21A010000,407 MOSELEY DR ,223000,15150235
190043000,231 MONTE VISTA AVE ,286300,15149960
220111200,1640 CENTER AVE ,229800,15150693
220013000,313 VALLEY RD EXT ,145900,15150481
21A0015A0,326 CLEVELAND AVE ,132900,15150219
22A122000,698 HIGHLAND AVE ,293200,15150886
210070000,211 RAYMOND AVE ,289750,15150110
22A096000,1618 TRAILRIDGE RD ,297100,15150829
220067000,214 SHAMROCK RD ,204370,15150497
